ID	Code	Description	IsFreeHedge	IsFreeOverHedge	AlertLevel1	AlertLevel2	AlertLevel3	AlertLevel1Lock	AlertLevel2Lock	AlertLevel3Lock	OpenMarginCheckOption	CloseMarginCheckOption	OpenNetFactor	OpenHedgeFactor	CloseNetFactor	CloseHedgeFactor	AlertLevel4	AlertLevel4Lock	UpdatePersonId	BinaryOptionBetLimit
208A7CCB-24EC-45CE-B7B7-05C3C920D261	12	NULL	1	0	1.00	0.80	0.50	1.00	1.00	1.00	1	1	1.00	1.00	1.00	1.00	0.00	1.00	525BBBC6-0E94-4991-BAC1-0CF1D31BBC17	0.00
99D8C563-C77B-4C1B-908D-08AE1A4CFC5E	REAL	NULL	1	0	1.00	0.80	0.00	1.00	1.00	1.00	1	1	1.00	1.00	1.00	1.00	0.00	1.00	NULL	0.00
EB122C30-E573-463F-A94F-1E8569717190	F2	NULL	1	0	0.75	0.50	0.15	0.75	0.50	0.15	1	1	1.00	1.00	1.00	1.00	0.15	0.15	525BBBC6-0E94-4991-BAC1-0CF1D31BBC17	0.00
2A6AE188-1718-453C-90BA-34D45BE46127	P2	NULL	1	0	0.75	0.50	0.15	0.75	0.50	0.15	1	1	1.00	1.00	1.00	1.00	0.15	0.15	525BBBC6-0E94-4991-BAC1-0CF1D31BBC17	0.00
116CD319-5DF0-4DE5-B3F1-495E146F6B5A	P3	NULL	1	0	0.75	0.50	0.15	0.75	0.50	0.15	1	1	1.00	1.00	1.00	1.00	0.15	0.15	NULL	0.00
83C2F7EA-FF7D-42F3-9E91-5872129062DB	TP1	NULL	1	0	0.75	0.50	0.15	0.75	0.50	0.15	1	1	1.00	1.00	1.00	1.00	0.15	0.15	525BBBC6-0E94-4991-BAC1-0CF1D31BBC17	0.00
24D9C01C-CDB9-4AC5-8C31-7083A1F291A5	P1	NULL	1	0	0.75	0.50	0.15	0.75	0.50	0.15	1	1	1.00	1.00	1.00	1.00	0.15	0.15	525BBBC6-0E94-4991-BAC1-0CF1D31BBC17	0.00
379F54B2-35D0-491A-BAA6-79FA42761B46	DEMO	NULL	1	0	1.00	0.80	0.00	1.00	1.00	1.00	1	1	1.00	1.00	1.00	1.00	0.00	1.00	NULL	0.00
99A5FE24-D8B7-42A2-9DBE-BF1608F82F96	F1	NULL	1	0	0.75	0.50	0.15	0.75	0.50	0.15	1	1	1.00	1.00	1.00	1.00	0.15	0.15	525BBBC6-0E94-4991-BAC1-0CF1D31BBC17	0.00
13DC9C40-EF1E-4959-9275-C761070C5A0C	phy1	NULL	1	0	0.75	0.50	0.15	0.75	0.50	0.15	1	1	1.00	1.00	1.00	1.00	0.15	0.15	NULL	0.00
637029F9-AF70-4E6D-B0F3-E6A615265034	USD	NULL	1	0	1.00	0.80	0.00	1.00	1.00	1.00	1	1	1.00	1.00	1.00	1.00	0.00	1.00	NULL	0.00
